,loss,accuracy,recall,precision,auc,val_loss,val_accuracy,val_recall,val_precision,val_auc
0,0.3571436107158661,0.837164580821991,0.3940071761608124,0.654729425907135,0.8533960580825806,0.27764829993247986,0.8798977136611938,0.7209150791168213,0.6927459239959717,0.922218918800354
1,0.2290087193250656,0.9084568619728088,0.7277421951293945,0.7970412969589233,0.9448447227478027,0.20369021594524384,0.9194447994232178,0.7848647236824036,0.8079895973205566,0.9572082757949829
2,0.1912129670381546,0.9265798926353455,0.7825875282287598,0.839553713798523,0.9612084627151489,0.17473873496055603,0.9327178001403809,0.812444269657135,0.8459796905517578,0.9678105711936951
3,0.17281705141067505,0.9347155094146729,0.8072502017021179,0.8580909967422485,0.9680785536766052,0.16249509155750275,0.9386032819747925,0.8191718459129333,0.8673356771469116,0.9717620015144348
4,0.16212303936481476,0.9392887949943542,0.8218063712120056,0.8677712082862854,0.9716624021530151,0.15486884117126465,0.9418833255767822,0.8499107956886292,0.8588491678237915,0.9744290709495544
5,0.15479320287704468,0.9423931837081909,0.8322120904922485,0.87384432554245,0.9740623235702515,0.14940306544303894,0.9440750479698181,0.8250446319580078,0.888164222240448,0.9759829640388489
6,0.14834363758563995,0.9449406862258911,0.8409715294837952,0.8786427974700928,0.9760633707046509,0.14662975072860718,0.9451932311058044,0.8335563540458679,0.8864031434059143,0.9766952395439148
7,0.15054841339588165,0.943731963634491,0.8376531004905701,0.8757258653640747,0.9754711985588074,0.1494244933128357,0.9441607594490051,0.8489258289337158,0.8695627450942993,0.9757881760597229
8,0.13915768265724182,0.9485238194465637,0.8529406189918518,0.8855726718902588,0.9788406491279602,0.14511097967624664,0.9462555050849915,0.8413061499595642,0.8850417137145996,0.977042555809021
9,0.13108451664447784,0.9516737461090088,0.8633447289466858,0.8916798233985901,0.9811549186706543,0.14366190135478973,0.9465201497077942,0.8541108965873718,0.8761247396469116,0.9775965809822083
