,loss,accuracy,recall,precision,auc,val_loss,val_accuracy,val_recall,val_precision,val_auc
0,0.3594585061073303,0.8367465138435364,0.38857656717300415,0.6552565693855286,0.8506611585617065,0.2631663978099823,0.8901218175888062,0.6315603852272034,0.7787657380104065,0.9293025135993958
1,0.21621915698051453,0.9144423007965088,0.7457159161567688,0.8113683462142944,0.9507694244384766,0.1827940046787262,0.9294899702072144,0.8058281540870667,0.8365972638130188,0.964835524559021
2,0.17865261435508728,0.9321496486663818,0.8003293871879578,0.8516029119491577,0.965860903263092,0.16439616680145264,0.9376341700553894,0.7945472598075867,0.8827792406082153,0.9714401960372925
3,0.16166439652442932,0.9397379755973816,0.8217952251434326,0.8698617219924927,0.9716587066650391,0.15365134179592133,0.9421107172966003,0.8428486585617065,0.8650504350662231,0.9746580123901367
4,0.15355747938156128,0.9429094195365906,0.8327199220657349,0.8758435249328613,0.9743638038635254,0.15018390119075775,0.9434190392494202,0.8311032056808472,0.880107045173645,0.9756355285644531
5,0.14618027210235596,0.9460752606391907,0.8421058654785156,0.8829501271247864,0.9766886234283447,0.1452261507511139,0.9459125995635986,0.8476806282997131,0.8783869743347168,0.9769005179405212
6,0.1408107429742813,0.9479852914810181,0.8485678434371948,0.8866015672683716,0.9782689213752747,0.1418967843055725,0.9473028779029846,0.8536277413368225,0.8800245523452759,0.9780893325805664
7,0.13566404581069946,0.9497916102409363,0.8539819121360779,0.8905878067016602,0.9797481298446655,0.1405566930770874,0.9478694796562195,0.8514161705970764,0.8843525648117065,0.9783017039299011
8,0.1304216980934143,0.9518300890922546,0.8608797192573547,0.8944154381752014,0.9812300205230713,0.14004863798618317,0.948167622089386,0.8594632744789124,0.8793687224388123,0.9784117341041565
9,0.12480707466602325,0.9538996815681458,0.8675357103347778,0.8985544443130493,0.9828095436096191,0.14152991771697998,0.9482086300849915,0.8316421508789062,0.9024705290794373,0.9781368374824524
