,loss,accuracy,recall,precision,auc,val_loss,val_accuracy,val_recall,val_precision,val_auc
0,0.38957127928733826,0.820556640625,0.2642304599285126,0.621380627155304,0.8160229921340942,0.327644944190979,0.847570538520813,0.4799844026565552,0.6666580438613892,0.882697343826294
1,0.28662893176078796,0.8748484253883362,0.6085940599441528,0.7221552133560181,0.9128124117851257,0.24163755774497986,0.9001930952072144,0.6918116211891174,0.7850228548049927,0.9390847682952881
2,0.22597169876098633,0.9105926752090454,0.7306221127510071,0.804539680480957,0.9457535147666931,0.21190191805362701,0.9163398742675781,0.7287949919700623,0.8331739902496338,0.9535776376724243
3,0.20189201831817627,0.9226951599121094,0.769906759262085,0.8313120603561401,0.956383228302002,0.18929098546504974,0.9281070828437805,0.8063856959342957,0.8302717208862305,0.9619340896606445
4,0.18674598634243011,0.9295861721038818,0.7923552989959717,0.8459730744361877,0.9624476432800293,0.17681962251663208,0.9329898953437805,0.7855151891708374,0.8678342700004578,0.9666488766670227
5,0.17525959014892578,0.9345862865447998,0.807256281375885,0.8574454188346863,0.9666483402252197,0.16949494183063507,0.9358860850334167,0.843257486820221,0.8380709886550903,0.9698660969734192
6,0.16678932309150696,0.9378933310508728,0.8176801204681396,0.8645700812339783,0.9697327613830566,0.162084698677063,0.9391474723815918,0.8461381196975708,0.8498021364212036,0.9720451235771179
7,0.16175757348537445,0.9399836659431458,0.8247455954551697,0.8686630129814148,0.971473217010498,0.16538193821907043,0.9372614622116089,0.838555634021759,0.8470882177352905,0.9711470603942871
8,0.15672969818115234,0.9417501091957092,0.8301599621772766,0.872526228427887,0.9732552766799927,0.15445779263973236,0.9424536228179932,0.8295978307723999,0.8768390417098999,0.9739579558372498
9,0.15084215998649597,0.944229006767273,0.8376805186271667,0.8779773116111755,0.9750988483428955,0.1533031165599823,0.9424499273300171,0.844855785369873,0.8650479316711426,0.974631667137146
