,loss,accuracy,recall,precision,auc,val_loss,val_accuracy,val_recall,val_precision,val_auc
0,0.3430035412311554,0.845707893371582,0.43099281191825867,0.6808064579963684,0.8665628433227539,0.247770756483078,0.8960967063903809,0.6961418390274048,0.7646986842155457,0.9361863732337952
1,0.20947417616844177,0.9175187945365906,0.757109522819519,0.8171769380569458,0.9536774754524231,0.18040494620800018,0.9302763938903809,0.7656110525131226,0.8711355328559875,0.9660832285881042
2,0.1701795756816864,0.9358237385749817,0.8089390993118286,0.8618137836456299,0.968774676322937,0.16179467737674713,0.9393487572669983,0.8165886402130127,0.8728100061416626,0.9717884659767151
3,0.15624019503593445,0.9420198202133179,0.8288644552230835,0.8748117089271545,0.9734427332878113,0.15057843923568726,0.9439632296562195,0.8239666819572449,0.8885325789451599,0.9755479693412781
4,0.148733451962471,0.9448258280754089,0.8379195332527161,0.8805516362190247,0.9758780002593994,0.14828206598758698,0.9446490406990051,0.8351917862892151,0.8825262188911438,0.9760989546775818
5,0.14258168637752533,0.9471850395202637,0.8454157710075378,0.8854246735572815,0.977709174156189,0.14360873401165009,0.9464530944824219,0.8515090942382812,0.8778403401374817,0.9775418639183044
6,0.1369529366493225,0.9494070410728455,0.852300226688385,0.8901674747467041,0.9794127345085144,0.14196999371051788,0.9474184513092041,0.8592031002044678,0.8762201070785522,0.9779990911483765
7,0.13178853690624237,0.9512612223625183,0.8588306903839111,0.8934524059295654,0.9808923602104187,0.1406051367521286,0.9477688074111938,0.8365856409072876,0.8960883617401123,0.97834312915802
8,0.1259516179561615,0.9534944295883179,0.8658959865570068,0.8980273604393005,0.9824690818786621,0.1402919590473175,0.9484471678733826,0.8468071818351746,0.8907591104507446,0.9781401753425598
9,0.12077131867408752,0.9554682970046997,0.872185230255127,0.9020066857337952,0.9837821125984192,0.13912752270698547,0.9493268132209778,0.8556534051895142,0.8876399993896484,0.978431224822998
